id,firstname,surname,birth_date,death_date,born_country,born_country_code,born_city,died_country,died_country_code,died_city,gender,award_year,category,overall_motivation,share,motivation,name,city,country,birth_year,age_at_award,decade,motivation_clean
125,Simon,van der Meer,1925-11-24,2011-03-04,the Netherlands,NL,the Hague,Switzerland,CH,Geneva,Male,1984,Physics,,2,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""",CERN,Geneva,Switzerland,1925,59,1980,for their decisive contributions to the large project which led to the discovery of the field particles w and z communicators of weak interaction
126,Klaus,von Klitzing,1943-06-28,,German-occupied Poland (now Poland),PL,Schroda,,,,Male,1985,Physics,,1,"""for the discovery of the quantized Hall effect""",Max-Planck-Institut für Festkörperforschung,Stuttgart,Germany,1943,42,1980,for the discovery of the quantized hall effect
127,Ernst,Ruska,1906-12-25,1988-05-27,Germany,DE,Heidelberg,Germany,DE,West Berlin,Male,1986,Physics,,2,"""for his fundamental work in electron optics and for the design of the first electron microscope""",Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,1906,80,1980,for his fundamental work in electron optics and for the design of the first electron microscope
128,Gerd,Binnig,1947-07-20,,West Germany (now Germany),DE,Frankfurt-on-the-Main,,,,Male,1986,Physics,,4,"""for their design of the scanning tunneling microscope""",IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1947,39,1980,for their design of the scanning tunneling microscope
129,Heinrich,Rohrer,1933-06-06,2013-05-16,Switzerland,CH,Buchs,Switzerland,CH,Wollerau,Male,1986,Physics,,4,"""for their design of the scanning tunneling microscope""",IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1933,53,1980,for their design of the scanning tunneling microscope
130,J. Georg,Bednorz,1950-05-16,,West Germany (now Germany),DE,Neuenkirchen,,,,Male,1987,Physics,,2,"""for their important break-through in the discovery of superconductivity in ceramic materials""",IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1950,37,1980,for their important break through in the discovery of superconductivity in ceramic materials
131,K. Alex,Müller,1927-04-20,2023-01-09,Switzerland,CH,Basel,Switzerland,CH,Zurich,Male,1987,Physics,,2,"""for their important break-through in the discovery of superconductivity in ceramic materials""",IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1927,60,1980,for their important break through in the discovery of superconductivity in ceramic materials
132,Leon M.,Lederman,1922-07-15,2018-10-03,USA,US,New York NY,USA,US,Rexburg ID,Male,1988,Physics,,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",Fermi National Accelerator Laboratory,Batavia IL,USA,1922,66,1980,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
133,Melvin,Schwartz,1932-11-02,2006-08-28,USA,US,New York NY,USA,US,Twin Falls ID,Male,1988,Physics,,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",Digital Pathways Inc.,Mountain View CA,USA,1932,56,1980,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
134,Jack,Steinberger,1921-05-25,2020-12-12,Germany,DE,Bad Kissingen,Switzerland,CH,Geneva,Male,1988,Physics,,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",CERN,Geneva,Switzerland,1921,67,1980,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
135,Norman F.,Ramsey,1915-08-27,2011-11-04,USA,US,Washington D.C.,USA,US,Wayland MA,Male,1989,Physics,,2,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",Harvard University,Cambridge MA,USA,1915,74,1980,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks
136,Hans G.,Dehmelt,1922-09-09,2017-03-07,Prussia (now Germany),DE,Görlitz,USA,US,Seattle WA,Male,1989,Physics,,4,"""for the development of the ion trap technique""",University of Washington,Seattle WA,USA,1922,67,1980,for the development of the ion trap technique
137,Wolfgang,Paul,1913-08-10,1993-12-07,Germany,DE,Lorenzkirch,Germany,DE,Bonn,Male,1989,Physics,,4,"""for the development of the ion trap technique""",University of Bonn,Bonn,Germany,1913,76,1980,for the development of the ion trap technique
138,Jerome I.,Friedman,1930-03-28,,USA,US,Chicago IL,,,,Male,1990,Physics,,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1930,60,1990,for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics
139,Henry W.,Kendall,1926-12-09,1999-02-15,USA,US,Boston MA,USA,US,Wakulla Springs State Park FL,Male,1990,Physics,,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1926,64,1990,for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics
140,Richard E.,Taylor,1929-11-02,2018-02-22,Canada,CA,Medicine Hat Alberta,USA,US,Stanford CA,Male,1990,Physics,,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",Stanford University,Stanford CA,USA,1929,61,1990,for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics
141,Pierre-Gilles,de Gennes,1932-10-24,2007-05-18,France,FR,Paris,France,FR,Orsay,Male,1991,Physics,,1,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers""",Collège de France,Paris,France,1932,59,1990,for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers
142,Georges,Charpak,1924-08-01,2010-09-29,Poland,PL,Dabrovica,France,FR,Paris,Male,1992,Physics,,1,"""for his invention and development of particle detectors in particular the multiwire proportional chamber""",École Supérieure de Physique et Chimie,Paris,France,1924,68,1990,for his invention and development of particle detectors in particular the multiwire proportional chamber
143,Russell A.,Hulse,1950-11-28,,USA,US,New York NY,,,,Male,1993,Physics,,2,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation""",Princeton University,Princeton NJ,USA,1950,43,1990,for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation
144,Joseph H.,Taylor Jr.,1941-03-29,,USA,US,Philadelphia PA,,,,Male,1993,Physics,,2,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation""",Princeton University,Princeton NJ,USA,1941,52,1990,for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation
145,Bertram N.,Brockhouse,1918-07-15,2003-10-13,Canada,CA,Lethbridge Alberta,Canada,CA,Hamilton Ontario,Male,1994,Physics,"""for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter""",2,"""for the development of neutron spectroscopy""",McMaster University,Hamilton Ontario,Canada,1918,76,1990,for the development of neutron spectroscopy
146,Clifford G.,Shull,1915-09-23,2001-03-31,USA,US,Pittsburgh PA,USA,US,Medford MA,Male,1994,Physics,"""for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter""",2,"""for the development of the neutron diffraction technique""",Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1915,79,1990,for the development of the neutron diffraction technique
147,Martin L.,Perl,1927-06-24,2014-09-30,USA,US,New York NY,USA,US,Palo Alto CA,Male,1995,Physics,"""for pioneering experimental contributions to lepton physics""",2,"""for the discovery of the tau lepton""",Stanford University,Stanford CA,USA,1927,68,1990,for the discovery of the tau lepton
148,Frederick,Reines,1918-03-16,1998-08-26,USA,US,Paterson NJ,USA,US,Orange CA,Male,1995,Physics,"""for pioneering experimental contributions to lepton physics""",2,"""for the detection of the neutrino""",University of California,Irvine CA,USA,1918,77,1990,for the detection of the neutrino
149,David M.,Lee,1931-01-20,,USA,US,Rye NY,,,,Male,1996,Physics,,3,"""for their discovery of superfluidity in helium-3""",Cornell University,Ithaca NY,USA,1931,65,1990,for their discovery of superfluidity in helium 3
150,Douglas D.,Osheroff,1945-08-01,,USA,US,Aberdeen WA,,,,Male,1996,Physics,,3,"""for their discovery of superfluidity in helium-3""",Stanford University,Stanford CA,USA,1945,51,1990,for their discovery of superfluidity in helium 3
151,Robert C.,Richardson,1937-06-26,2013-02-19,USA,US,Washington D.C.,USA,US,Ithaca NY,Male,1996,Physics,,3,"""for their discovery of superfluidity in helium-3""",Cornell University,Ithaca NY,USA,1937,59,1990,for their discovery of superfluidity in helium 3
152,Steven,Chu,1948-02-28,,USA,US,St. Louis MO,,,,Male,1997,Physics,,3,"""for development of methods to cool and trap atoms with laser light""",Stanford University,Stanford CA,USA,1948,49,1990,for development of methods to cool and trap atoms with laser light
153,Claude,Cohen-Tannoudji,1933-04-01,,French Algeria (now Algeria),DZ,Constantine,,,,Male,1997,Physics,,3,"""for development of methods to cool and trap atoms with laser light""",Collège de France,Paris,France,1933,64,1990,for development of methods to cool and trap atoms with laser light
154,William D.,Phillips,1948-11-05,,USA,US,Wilkes-Barre PA,,,,Male,1997,Physics,,3,"""for development of methods to cool and trap atoms with laser light""",National Institute of Standards and Technology,Gaithersburg MD,USA,1948,49,1990,for development of methods to cool and trap atoms with laser light
155,Robert B.,Laughlin,1950-11-01,,USA,US,Visalia CA,,,,Male,1998,Physics,,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Stanford University,Stanford CA,USA,1950,48,1990,for their discovery of a new form of quantum fluid with fractionally charged excitations
156,Horst L.,Störmer,1949-04-06,,West Germany (now Germany),DE,Frankfurt-on-the-Main,,,,Male,1998,Physics,,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Columbia University,New York NY,USA,1949,49,1990,for their discovery of a new form of quantum fluid with fractionally charged excitations
157,Daniel C.,Tsui,1939-02-28,,China,CN,Henan,,,,Male,1998,Physics,,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Princeton University,Princeton NJ,USA,1939,59,1990,for their discovery of a new form of quantum fluid with fractionally charged excitations
158,Gerardus,'t Hooft,1946-07-05,,the Netherlands,NL,Den Helder,,,,Male,1999,Physics,,2,"""for elucidating the quantum structure of electroweak interactions in physics""",Utrecht University,Utrecht,the Netherlands,1946,53,1990,for elucidating the quantum structure of electroweak interactions in physics
159,Martinus J.G.,Veltman,1931-06-27,2021-01-04,the Netherlands,NL,Waalwijk,the Netherlands,NL,Bilthoven,Male,1999,Physics,,2,"""for elucidating the quantum structure of electroweak interactions in physics""",,,,1931,68,1990,for elucidating the quantum structure of electroweak interactions in physics
160,Jacobus H.,van 't Hoff,1852-08-30,1911-03-01,the Netherlands,NL,Rotterdam,Germany,DE,Berlin,Male,1901,Chemistry,,1,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",Berlin University,Berlin,Germany,1852,49,1900,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions
161,Emil,Fischer,1852-10-09,1919-07-15,Prussia (now Germany),DE,Euskirchen,Germany,DE,Berlin,Male,1902,Chemistry,,1,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",Berlin University,Berlin,Germany,1852,50,1900,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses
162,Svante,Arrhenius,1859-02-19,1927-10-02,Sweden,SE,Vik,Sweden,SE,Stockholm,Male,1903,Chemistry,,1,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",Stockholm University,Stockholm,Sweden,1859,44,1900,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation
163,Sir William,Ramsay,1852-10-02,1916-07-23,Scotland,GB,Glasgow,United Kingdom,GB,High Wycombe,Male,1904,Chemistry,,1,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system""",University College,London,United Kingdom,1852,52,1900,in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system
164,Adolf,von Baeyer,1835-10-31,1917-08-20,Prussia (now Germany),DE,Berlin,Germany,DE,Starnberg,Male,1905,Chemistry,,1,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds""",Munich University,Munich,Germany,1835,70,1900,in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds
165,Henri,Moissan,1852-09-28,1907-02-20,France,FR,Paris,France,FR,Paris,Male,1906,Chemistry,,1,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him""",Sorbonne University,Paris,France,1852,54,1900,in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him
166,Eduard,Buchner,1860-05-20,1917-08-13,Bavaria (now Germany),DE,Munich,Romania,RO,Focsani,Male,1907,Chemistry,,1,"""for his biochemical researches and his discovery of cell-free fermentation""",Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,1860,47,1900,for his biochemical researches and his discovery of cell free fermentation
167,Ernest,Rutherford,1871-08-30,1937-10-19,New Zealand,NZ,Nelson,United Kingdom,GB,Cambridge,Male,1908,Chemistry,,1,"""for his investigations into the disintegration of the elements and the chemistry of radioactive substances""",Victoria University,Manchester,United Kingdom,1871,37,1900,for his investigations into the disintegration of the elements and the chemistry of radioactive substances
168,Wilhelm,Ostwald,1853-09-02,1932-04-04,Russian Empire (now Latvia),LV,Riga,Germany,DE,Leipzig,Male,1909,Chemistry,,1,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",Leipzig University,Leipzig,Germany,1853,56,1900,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction
169,Otto,Wallach,1847-03-27,1931-02-26,Germany (now Russia),RU,Koenigsberg (now Kaliningrad),Germany,DE,Göttingen,Male,1910,Chemistry,,1,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",Goettingen University,Göttingen,Germany,1847,63,1910,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds
172,Victor,Grignard,1871-05-06,1935-12-13,France,FR,Cherbourg,France,FR,Lyon,Male,1912,Chemistry,,2,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""",Nancy University,Nancy,France,1871,41,1910,for the discovery of the so called grignard reagent which in recent years has greatly advanced the progress of organic chemistry
173,Paul,Sabatier,1854-11-05,1941-08-14,France,FR,Carcassonne,France,FR,Toulouse,Male,1912,Chemistry,,2,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",Toulouse University,Toulouse,France,1854,58,1910,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years
174,Alfred,Werner,1866-12-12,1919-11-15,France,FR,Mulhouse,Switzerland,CH,Zurich,Male,1913,Chemistry,,1,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",University of Zurich,Zurich,Switzerland,1866,47,1910,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry
175,Theodore W.,Richards,1868-01-31,1928-04-02,USA,US,Germantown PA,USA,US,Cambridge MA,Male,1914,Chemistry,,1,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",Harvard University,Cambridge MA,USA,1868,46,1910,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements
176,Richard,Willstätter,1872-08-13,1942-08-03,Germany,DE,Karlsruhe,Switzerland,CH,Locarno,Male,1915,Chemistry,,1,"""for his researches on plant pigments especially chlorophyll""",Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,1872,43,1910,for his researches on plant pigments especially chlorophyll
177,Fritz,Haber,1868-12-09,1934-01-29,Prussia (now Poland),PL,Breslau (now Wroclaw),Switzerland,CH,Basel,Male,1918,Chemistry,,1,"""for the synthesis of ammonia from its elements""",Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,1868,50,1910,for the synthesis of ammonia from its elements
178,Walther,Nernst,1864-06-25,1941-11-18,Prussia (now Poland),PL,Briesen (now Wąbrzeźno),Germany,DE,Muskau,Male,1920,Chemistry,,1,"""in recognition of his work in thermochemistry""",Berlin University,Berlin,Germany,1864,56,1920,in recognition of his work in thermochemistry
179,Frederick,Soddy,1877-09-02,1956-09-22,United Kingdom,GB,Eastbourne,United Kingdom,GB,Brighton,Male,1921,Chemistry,,1,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes""",University of Oxford,Oxford,United Kingdom,1877,44,1920,for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes
180,Francis W.,Aston,1877-09-01,1945-11-20,United Kingdom,GB,Harborne,United Kingdom,GB,Cambridge,Male,1922,Chemistry,,1,"""for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule""",University of Cambridge,Cambridge,United Kingdom,1877,45,1920,for his discovery by means of his mass spectrograph of isotopes in a large number of non radioactive elements and for his enunciation of the whole number rule
181,Fritz,Pregl,1869-09-03,1930-12-13,Austria-Hungary (now Slovenia),SI,Laibach (now Ljubljana),Austria,AT,Graz,Male,1923,Chemistry,,1,"""for his invention of the method of micro-analysis of organic substances""",Graz University,Graz,Austria,1869,54,1920,for his invention of the method of micro analysis of organic substances
182,Richard,Zsigmondy,1865-04-01,1929-09-24,Austrian Empire (now Austria),AT,Vienna,Germany,DE,Göttingen,Male,1925,Chemistry,,1,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used which have since become fundamental in modern colloid chemistry""",Goettingen University,Göttingen,Germany,1865,60,1920,for his demonstration of the heterogenous nature of colloid solutions and for the methods he used which have since become fundamental in modern colloid chemistry
183,The,Svedberg,1884-08-30,1971-02-25,Sweden,SE,Fleräng,Sweden,SE,Örebro,Male,1926,Chemistry,,1,"""for his work on disperse systems""",Uppsala University,Uppsala,Sweden,1884,42,1920,for his work on disperse systems
184,Heinrich,Wieland,1877-06-04,1957-08-05,Germany,DE,Pforzheim,West Germany (now Germany),DE,Munich,Male,1927,Chemistry,,1,"""for his investigations of the constitution of the bile acids and related substances""",Munich University,Munich,Germany,1877,50,1920,for his investigations of the constitution of the bile acids and related substances
185,Adolf,Windaus,1876-12-25,1959-06-09,Germany,DE,Berlin,West Germany (now Germany),DE,Göttingen,Male,1928,Chemistry,,1,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",Goettingen University,Göttingen,Germany,1876,52,1920,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins
186,Arthur,Harden,1865-10-12,1940-06-17,United Kingdom,GB,Manchester,United Kingdom,GB,Bourne,Male,1929,Chemistry,,2,"""for their investigations on the fermentation of sugar and fermentative enzymes""",London University,London,United Kingdom,1865,64,1920,for their investigations on the fermentation of sugar and fermentative enzymes
187,Hans,von Euler-Chelpin,1873-02-15,1964-11-06,Germany,DE,Augsburg,Sweden,SE,Stockholm,Male,1929,Chemistry,,2,"""for their investigations on the fermentation of sugar and fermentative enzymes""",Stockholm University,Stockholm,Sweden,1873,56,1920,for their investigations on the fermentation of sugar and fermentative enzymes
188,Hans,Fischer,1881-07-27,1945-03-31,Germany,DE,Hoechst,Germany,DE,Munich,Male,1930,Chemistry,,1,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",Technische Hochschule (Institute of Technology),Munich,Germany,1881,49,1930,for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin
189,Carl,Bosch,1874-08-27,1940-04-26,Germany,DE,Cologne,Germany,DE,Heidelberg,Male,1931,Chemistry,,2,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",University of Heidelberg,Heidelberg,Germany,1874,57,1930,in recognition of their contributions to the invention and development of chemical high pressure methods
190,Friedrich,Bergius,1884-10-11,1949-03-30,Germany (now Poland),PL,Goldschmieden near Breslau,Argentina,AR,Buenos Aires,Male,1931,Chemistry,,2,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",University of Heidelberg,Heidelberg,Germany,1884,47,1930,in recognition of their contributions to the invention and development of chemical high pressure methods
191,Irving,Langmuir,1881-01-31,1957-08-16,USA,US,Brooklyn NY,USA,US,Falmouth MA,Male,1932,Chemistry,,1,"""for his discoveries and investigations in surface chemistry""",General Electric Company,Schenectady NY,USA,1881,51,1930,for his discoveries and investigations in surface chemistry
192,Harold C.,Urey,1893-04-29,1981-01-05,USA,US,Walkerton IN,USA,US,La Jolla CA,Male,1934,Chemistry,,1,"""for his discovery of heavy hydrogen""",Columbia University,New York NY,USA,1893,41,1930,for his discovery of heavy hydrogen
193,Frédéric,Joliot,1900-03-19,1958-08-14,France,FR,Paris,France,FR,Paris,Male,1935,Chemistry,,2,"""in recognition of their synthesis of new radioactive elements""",Institut du Radium,Paris,France,1900,35,1930,in recognition of their synthesis of new radioactive elements
194,Irène,Joliot-Curie,1897-09-12,1956-03-17,France,FR,Paris,France,FR,Paris,Female,1935,Chemistry,,2,"""in recognition of their synthesis of new radioactive elements""",Institut du Radium,Paris,France,1897,38,1930,in recognition of their synthesis of new radioactive elements
195,Peter,Debye,1884-03-24,1966-11-02,the Netherlands,NL,Maastricht,USA,US,Ithaca NY,Male,1936,Chemistry,,1,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",Berlin University,Berlin,Germany,1884,52,1930,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of x rays and electrons in gases
196,Norman,Haworth,1883-03-19,1950-03-19,United Kingdom,GB,Chorley,United Kingdom,GB,Birmingham,Male,1937,Chemistry,,2,"""for his investigations on carbohydrates and vitamin C""",Birmingham University,Birmingham,United Kingdom,1883,54,1930,for his investigations on carbohydrates and vitamin c
197,Paul,Karrer,1889-04-21,1971-06-18,Russia,RU,Moscow,Switzerland,CH,Zurich,Male,1937,Chemistry,,2,"""for his investigations on carotenoids flavins and vitamins A and B2""",University of Zurich,Zurich,Switzerland,1889,48,1930,for his investigations on carotenoids flavins and vitamins a and b2
198,Richard,Kuhn,1900-12-03,1967-07-31,Austria-Hungary (now Austria),AT,Vienna,West Germany (now Germany),DE,Heidelberg,Male,1938,Chemistry,,1,"""for his work on carotenoids and vitamins""",Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,1900,38,1930,for his work on carotenoids and vitamins
199,Adolf,Butenandt,1903-03-24,1995-01-18,Germany,DE,Bremerhaven-Lehe,Germany,DE,Munich,Male,1939,Chemistry,,2,"""for his work on sex hormones""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,1903,36,1930,for his work on sex hormones
200,Leopold,Ruzicka,1887-09-13,1976-09-26,Austria-Hungary (now Croatia),HR,Vukovar,Switzerland,CH,Zurich,Male,1939,Chemistry,,2,"""for his work on polymethylenes and higher terpenes""",Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1887,52,1930,for his work on polymethylenes and higher terpenes
201,George,de Hevesy,1885-08-01,1966-07-05,Austria-Hungary (now Hungary),HU,Budapest,West Germany (now Germany),DE,Freiburg im Breisgau,Male,1943,Chemistry,,1,"""for his work on the use of isotopes as tracers in the study of chemical processes""",Stockholm University,Stockholm,Sweden,1885,58,1940,for his work on the use of isotopes as tracers in the study of chemical processes
202,Otto,Hahn,1879-03-08,1968-07-28,Germany,DE,Frankfurt-on-the-Main,West Germany (now Germany),DE,Göttingen,Male,1944,Chemistry,,1,"""for his discovery of the fission of heavy nuclei""",Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,1879,65,1940,for his discovery of the fission of heavy nuclei
203,Artturi,Virtanen,1895-01-15,1973-11-11,Russian Empire (now Finland),FI,Helsinki,Finland,FI,Helsinki,Male,1945,Chemistry,,1,"""for his research and inventions in agricultural and nutrition chemistry especially for his fodder preservation method""",University of Helsinki,Helsinki,Finland,1895,50,1940,for his research and inventions in agricultural and nutrition chemistry especially for his fodder preservation method
204,James B.,Sumner,1887-11-19,1955-08-12,USA,US,Canton MA,USA,US,Buffalo NY,Male,1946,Chemistry,,2,"""for his discovery that enzymes can be crystallized""",Cornell University,Ithaca NY,USA,1887,59,1940,for his discovery that enzymes can be crystallized
205,John H.,Northrop,1891-07-05,1987-05-27,USA,US,Yonkers NY,USA,US,Wickenberg AZ,Male,1946,Chemistry,,4,"""for their preparation of enzymes and virus proteins in a pure form""",Rockefeller Institute for Medical Research,Princeton NJ,USA,1891,55,1940,for their preparation of enzymes and virus proteins in a pure form
206,Wendell M.,Stanley,1904-08-16,1971-06-15,USA,US,Ridgeville IN,Spain,ES,Salamanca,Male,1946,Chemistry,,4,"""for their preparation of enzymes and virus proteins in a pure form""",Rockefeller Institute for Medical Research,Princeton NJ,USA,1904,42,1940,for their preparation of enzymes and virus proteins in a pure form
207,Sir Robert,Robinson,1886-09-13,1975-02-08,United Kingdom,GB,Rufford near Chesterfield,United Kingdom,GB,Great Missenden,Male,1947,Chemistry,,1,"""for his investigations on plant products of biological importance especially the alkaloids""",University of Oxford,Oxford,United Kingdom,1886,61,1940,for his investigations on plant products of biological importance especially the alkaloids
208,Arne,Tiselius,1902-08-10,1971-10-29,Sweden,SE,Stockholm,Sweden,SE,Uppsala,Male,1948,Chemistry,,1,"""for his research on electrophoresis and adsorption analysis especially for his discoveries concerning the complex nature of the serum proteins""",Uppsala University,Uppsala,Sweden,1902,46,1940,for his research on electrophoresis and adsorption analysis especially for his discoveries concerning the complex nature of the serum proteins
209,William F.,Giauque,1895-05-12,1982-03-28,Canada,CA,Niagara Falls,USA,US,Berkeley CA,Male,1949,Chemistry,,1,"""for his contributions in the field of chemical thermodynamics particularly concerning the behaviour of substances at extremely low temperatures""",University of California,Berkeley CA,USA,1895,54,1940,for his contributions in the field of chemical thermodynamics particularly concerning the behaviour of substances at extremely low temperatures
210,Otto,Diels,1876-01-23,1954-03-07,Germany,DE,Hamburg,West Germany (now Germany),DE,Kiel,Male,1950,Chemistry,,2,"""for their discovery and development of the diene synthesis""",Kiel University,Kiel,Germany,1876,74,1950,for their discovery and development of the diene synthesis
211,Kurt,Alder,1902-07-10,1958-06-20,Prussia (now Poland),PL,Königshütte (now Chorzów),West Germany (now Germany),DE,Cologne,Male,1950,Chemistry,,2,"""for their discovery and development of the diene synthesis""",Cologne University,Cologne,Germany,1902,48,1950,for their discovery and development of the diene synthesis
212,Edwin M.,McMillan,1907-09-18,1991-09-07,USA,US,Redondo Beach CA,USA,US,El Cerrito CA,Male,1951,Chemistry,,2,"""for their discoveries in the chemistry of the transuranium elements""",University of California,Berkeley CA,USA,1907,44,1950,for their discoveries in the chemistry of the transuranium elements
213,Glenn T.,Seaborg,1912-04-19,1999-02-25,USA,US,Ishpeming MI,USA,US,Lafayette CA,Male,1951,Chemistry,,2,"""for their discoveries in the chemistry of the transuranium elements""",University of California,Berkeley CA,USA,1912,39,1950,for their discoveries in the chemistry of the transuranium elements
214,Archer J.P.,Martin,1910-03-01,2002-07-28,United Kingdom,GB,London,United Kingdom,GB,Llangarron,Male,1952,Chemistry,,2,"""for their invention of partition chromatography""",National Institute for Medical Research,London,United Kingdom,1910,42,1950,for their invention of partition chromatography
